question,option1,option2,option3,option4,answer_index
"You are the principal investigator of a research project funded by a private technology company. During the final phase of the study, the experimental results reveal serious limitations in the company's product. When the sponsor reviews the preliminary report, they express concern that publishing such results may harm their market reputation. A representative informally suggests that your team reconsider the interpretation of the findings so the conclusions appear less damaging. At the same time, several junior researchers in your team are worried that refusing the sponsor's suggestion could result in loss of funding for future projects and affect their careers.  What would you do?",Modify the interpretation slightly to maintain the collaboration,Publish only favorable results and omit the negative findings,Maintain complete research integrity and publish all findings transparently,Delay publication indefinitely to avoid conflict,3
"You are working with a multidisciplinary research group on a journal paper. A senior colleague from another department insists that their name be included as a co-author even though they contributed only minor suggestions during early discussions. Some members of your team believe refusing may create departmental tension and affect future collaborations, while others feel that including the colleague violates accepted authorship guidelines and academic integrity standards.",Include the colleague as an author to avoid conflict,Remove their name without discussion,Initiate a professional discussion using established authorship guidelines to determine contributions fairly,Withdraw the paper submission entirely,3
"A research assistant working under your supervision submits a draft report for publication. While reviewing the document, you notice that several sections appear to be copied from previously published articles without proper citation. The assistant claims they were unaware of the seriousness of plagiarism and asks you not to report the issue because they fear losing their research position.",Ignore the issue to avoid damaging the assistant’s career,Remove the assistant from the project immediately,Explain the seriousness of plagiarism and require the report to be corrected with proper citations before submission,Submit the report anyway because the research results are valid,3
"During an academic conference, a colleague shares an unpublished research idea with you during an informal discussion. Later, you realize that the idea could lead to a high-impact publication if developed further. Since the concept was not formally documented or presented publicly, you could potentially work on it independently without acknowledgment.",Develop and publish the idea independently,Ignore the idea completely,Discuss collaboration with the colleague and acknowledge their contribution,Modify the idea slightly and publish it as your own,3
"A postgraduate student who has consistently performed well in previous semesters begins missing classes and submitting assignments late. During a brief conversation after class, the student admits feeling emotionally overwhelmed due to family problems and expresses uncertainty about continuing the program. University policies allow only limited extensions for assignments, and granting special consideration may raise concerns about fairness among other students.",Deny any flexibility and enforce academic rules strictly,Ignore the emotional concerns and focus only on academic performance,"Speak privately with the student, show empathy, and guide them toward counseling services while exploring possible academic accommodations",Suggest that the student withdraw from the program,3
"One of your students informs you that they experience severe anxiety when speaking in front of large groups. The course assessment requires an oral presentation, and the student worries that the anxiety may affect their performance and grades. Other students have completed similar presentations successfully.",Require the student to present in the same way as everyone else,Ignore the concern and assign a lower grade if performance is poor,Offer supportive alternatives such as smaller presentations or gradual exposure while encouraging confidence building,Remove presentations entirely from the course,3
"During a mid-semester examination, you notice a student becoming visibly distressed. The student begins breathing rapidly and appears unable to concentrate on the paper. Other students in the exam hall start noticing the situation, creating a tense atmosphere.",Ignore the student and continue the examination,Ask the student to leave the examination hall immediately,"Calm the student, allow a brief pause if permitted by policy, and guide them toward counseling services afterward",Mark the student absent for failing to complete the exam,3
"Late in the evening, you receive an email from a student saying they feel hopeless about their future and are unable to manage academic pressure. The student requests guidance but also asks you not to inform anyone else.",Ignore the message since it is not an academic issue,Reply briefly and remind the student about assignment deadlines,"Respond with empathy, encourage professional counseling, and involve appropriate student support services if necessary",Advise the student to take a permanent break from studies,3
"At the end of the semester, student evaluations reveal that while your lectures are intellectually rigorous, many students find them difficult to follow. Some comments mention that the pace is too fast and that complex theoretical concepts are not always explained with practical examples.",Ignore the feedback because the subject is inherently difficult,Reduce the course rigor significantly,Reflect on the feedback and redesign lectures to improve clarity while maintaining academic depth,Stop collecting student feedback in future courses,3
Your classroom includes students from different linguistic and cultural backgrounds. Several international students report difficulty understanding certain explanations and participating in discussions.,Continue teaching exactly the same way,Provide supplementary learning materials and encourage inclusive participation,Ask struggling students to study independently,Simplify the course excessively,2
"Students increasingly use artificial intelligence tools to generate parts of their assignments. While these tools can help learning, excessive dependence may reduce originality and critical thinking.",Ban AI tools completely,Ignore the issue,Create guidelines for ethical AI use and design assignments requiring critical analysis,Penalize students immediately without investigation,3
A student proposes an unconventional project idea that may not guarantee success but offers significant potential for creative learning. Some faculty members recommend rejecting the idea and replacing it with a standard project topic.,Reject the idea immediately,Encourage experimentation while guiding the student carefully,Replace it with a safer project,Ignore the proposal,2
"Your institution is preparing for an upcoming NAAC accreditation cycle. Faculty members are required to submit records of teaching innovations, mentoring activities, and research outputs for the past five years. Some colleagues suggest recreating missing documentation so the department can receive a higher accreditation score.",Recreate documents based on memory,Refuse to participate in documentation,Submit only verifiable records and help establish transparent documentation practices,Copy documents from another institution’s report,3
"The Internal Quality Assurance Cell requires faculty members to upload course outcomes, lesson plans, and student performance data regularly on the institutional portal. Many colleagues complain that the process increases workload and interferes with research activities.",Ignore the reporting requirements,Submit incomplete reports just to satisfy the system,Develop a systematic workflow to manage academic records efficiently,Assign the work entirely to students,3
"During NBA accreditation preparation, faculty must implement Outcome-Based Education and map Course Outcomes with Program Outcomes. Some colleagues treat the process as mere paperwork and copy mapping tables from other institutions.",Ignore the mapping process,Copy mapping data from other universities,Implement genuine outcome mapping and explain its academic value,Submit incomplete documentation,3
"While compiling NAAC data, you notice that some departments have slightly exaggerated student placement statistics to improve the institution’s ranking.",Ignore the issue,Support the exaggerated data for institutional benefit,Recommend correcting the data and maintaining transparency,Remove your name from the report,3
"You are simultaneously handling several responsibilities including teaching multiple courses, supervising graduate research, and preparing a grant proposal. The deadline for the proposal coincides with an important teaching period.",Cancel some lectures,Ignore the research proposal,Manage time effectively to balance both responsibilities,Delegate all teaching tasks to assistants,3
"During a conference presentation, another researcher publicly questions the methodology of your research and challenges some of your assumptions in front of the audience.",Respond defensively and dismiss the criticism,Ignore the question,Engage in a constructive academic discussion and explain your reasoning,Criticize the researcher personally,3
"Your department is discussing major curriculum changes to align with industry requirements. Faculty members have strong and conflicting opinions about the proposed changes, and meetings often become heated.",Avoid involvement,Support only your own interests,Facilitate constructive dialogue and evidence-based decisions,Publicly criticize colleagues,3
"During accreditation preparation, several colleagues appear stressed due to long working hours and documentation pressure. Some faculty members become frustrated and productivity declines.",Ignore colleagues’ stress and focus only on your work,Criticize colleagues for complaining,"Promote teamwork, distribute tasks effectively, and encourage short breaks",Delay all accreditation work,3
